symbol,earnings_date,spot,iv30_proxy,rv30,iv_rv_ratio,expected_move_pct,option_volume,open_interest
TLRY,2026-04-14,7.869999885559082,1.228517275390625,0.5734731628333795,2.142240221531633,0.2808132188229381,10.0,52.0
TGT,2026-03-03,113.79000091552734,0.5572554040527344,0.33057796813261137,1.6857003725946775,,2.0,20.0
NKE,2026-03-31,62.18000030517578,0.5358933129882812,0.32464417160203135,1.6507097920279683,0.11161145007942888,41.0,19.0
FDX,2026-03-19,387.0,0.41568577484130853,0.26345613170792304,1.577817802707863,,12.0,12.0
NIO,2026-03-10,4.869999885559082,0.6367223828125002,0.4469103978169623,1.4247204493847505,0.15811088667235215,377.0,803.0
BABA,2026-03-05,144.11000061035156,0.46997600341796875,0.33314878084982663,1.4107090598354004,0.10859759859633118,112.0,113.0
COST,2026-03-05,1010.7899780273438,0.2872004264068603,0.20580980248609276,1.3954652447920568,0.05468989721077802,5.0,15.0
ADBE,2026-03-12,262.4100036621094,0.517857604675293,0.3727978306846078,1.3891111000412655,0.118326281645807,28.0,54.0
DOCU,2026-03-17,45.06999969482422,0.7163114306640624,0.567883426277999,1.2613705516269156,0.17883292776959128,12.0,138.0
BILI,2026-03-05,27.899999618530273,0.627933408203125,0.5029780615570305,1.248431007625422,0.1440860234754285,5.0,20.0
JPM,2026-04-10,300.29998779296875,0.3459385475158691,0.2807045511746807,1.2323937964959952,0.06953047235684531,22.0,82.0
WFC,2026-04-14,81.44999694824219,0.35645174804687496,0.32545803828658876,1.095231047060494,,29.0,99.0
GS,2026-04-13,859.5700073242188,0.41136758071899415,0.4007808691609755,1.0264152118342915,0.09159230700135872,130.0,65.0
CCL,2026-03-20,31.549999237060547,0.5415084912109376,0.5391121643658723,1.004444950426752,0.12044374300764765,4.0,47.0
DAL,2026-04-08,65.69999694824219,0.4939015454101563,0.4988133748339348,0.990152971689234,,23.0,31.0
RIOT,2026-03-02,16.290000915527344,0.924805439453125,1.0905015960822917,0.8480550993923874,0.2535297586179603,3.0,12.0
